symbol,usage_number,name,business,classification,confidence,reasoning
FBS.A,0,5BANC SPLIT INC. CL 'A' CAPITAL SHARES,INVESTMENT COMPANY,FUND_PRODUCT,high,"SPLIT in name, bank-focused split-share corp"
FBS.B,0,5BANC SPLIT INC. CL 'B' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
AAB,0,ABERDEEN INTERNATIONAL INC. J,INVESTMENT COMPANY,REAL_COMPANY,medium,"Aberdeen International is a real TSX-listed resource-focused merchant bank / operating investment company, not a pooled fund product"
FAP,0,ABRDN ASIA-PACIFIC INCOME FUND VCC ORDINARY,INVESTMENT COMPANY,FUND_PRODUCT,high,"literal FUND in name, VCC (variable capital company) is a fund wrapper"
ASF,0,ACUITY SMALL CAP CORPORATION CLASS 'A',INVESTMENT COMPANY,FUND_PRODUCT,medium,Acuity was a Canadian fund manager brand; this share-class structure matches its closed-end fund family naming
AFN,1,AG GROWTH INTERNATIONAL INC.,INVESTMENT COMPANY,REAL_COMPANY,high,"AG Growth International is a real, well-known Canadian agricultural equipment manufacturer -- no fund characteristics at all, clear business-classification miss"
ADC,1,AIC DIVERSIFIED CANADA SPLIT CORP. CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
ASC,0,AIC GLOBAL FINANCIAL SPLIT CORP. CL 'A',INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
AQN,0,ALGONQUIN POWER & UTILITIES CORP.,INVESTMENT COMPANY,REAL_COMPANY,high,"Algonquin Power & Utilities is a large, real, well-known TSX/NYSE-listed utility and renewable power operating company -- clear business-classification miss, largest name found in this whole contaminated set by shares outstanding"
ABK,0,ALLBANC SPLIT CORP. CAPITAL SHARES,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
ABK.A,0,ALLBANC SPLIT CORP. CL 'A' CAPITAL SHARES,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
ALB,0,ALLBANC SPLIT CORP. II CLASS 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
ARR,0,ALTIUS RENEWABLE ROYALTIES CORP. J,INVESTMENT COMPANY,REAL_COMPANY,medium,"Altius Renewable Royalties is a real, currently-listed TSX royalty operating company (spun out of Altius Minerals), not a pooled vehicle -- same class as Franco-Nevada/Freehold"
GUR,1,ASTON HILL GLOBAL URANIUM FUND INC. EQUITY,INVESTMENT COMPANY,FUND_PRODUCT,high,literal FUND in name
GPC,0,ASTON HILL SR GOLD PRODUCERS INCM CORP. CL A,INVESTMENT COMPANY,FUND_PRODUCT,medium,Aston Hill is a Canadian closed-end fund sponsor brand; INCM CORP share-class structure matches its fund family naming
AI,0,ATRIUM MORTGAGE INVESTMENT CORPORATION,INVESTMENT COMPANY,FUND_PRODUCT,high,"user decision: mortgage investment corporations (MICs) excluded as fund-like pooled mortgage capital, applied uniformly across the MIC group (AI/ERM/FNC/RF.A/SMC.M/TF/MTG/TZZ) for consistency"
BXN,0,B SPLIT II CORP. CL 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BCX.A,0,BCX SPLIT CORP. CL 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BIG.A,0,BIG 8 SPLIT INC. CL 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BBO,1,BIG BANK BIG OIL SPLIT CORP. CL 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BMT,0,BMONT SPLIT CORP. CLASS 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BSN,0,BNS SPLIT CORP. CL 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BSC,0,BNS SPLIT CORP. II CLASS A CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
XBN,0,BNT LIMITED CAPITAL SHARES,INVESTMENT COMPANY,FUND_PRODUCT,high,CAPITAL SHARES / EQUITY DIVIDEND paired share-class structure is the split-corp tell even without SPLIT in the name (matches XBN.E below)
XBN.E,0,BNT LIMITED EQUITY DIVIDEND,INVESTMENT COMPANY,FUND_PRODUCT,high,paired with XBN CAPITAL SHARES -- split-corp share-class pair
ESP,2,BROMPTON ENERGY SPLIT CORP. CL A,INVESTMENT COMPANY,FUND_PRODUCT,high,"SPLIT in name, Brompton is a known Canadian split-share fund sponsor"
BE,0,BROMPTON EQUITY SPLIT CORP. CL 'A',INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
LCS,0,BROMPTON LIFECO SPLIT CORP. CLASS A,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
SBC,0,BROMPTON SPLIT BANC CORP. CLASS 'A',INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
BDB.O,0,BUSINESS DEVELOPMENT BK CDA NSDQ-100 NOTES 1,INVESTMENT COMPANY,FUND_PRODUCT,high,"structured note tracking the NASDAQ-100, issued by BDC -- a derivative/index product, not an operating company"
CAA,0,CALLINAN ROYALTIES CORPORATION,INVESTMENT COMPANY,REAL_COMPANY,medium,"royalty holding operating company (same class as Franco-Nevada/Freehold), not a pooled fund"
CEZ,1,CALMENA ENERGY SERVICES INC.,INVESTMENT COMPANY,REAL_COMPANY,high,"an oilfield services operating company, no fund characteristics -- clear business-classification miss"
XCN.A,0,CAN-BANC NT CORP. CL 'A' CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,NT CORP structured-note pattern + CAPITAL share-class tell
XCN,0,CAN-BANC NT CORPORATION CAPITAL SHARES,INVESTMENT COMPANY,FUND_PRODUCT,high,NT CORP structured-note pattern
XCN.E,0,CAN-BANC NT CORPORATION EQUITY DIVIDEND,INVESTMENT COMPANY,FUND_PRODUCT,high,paired EQUITY DIVIDEND share class
CFC,2,CANADIAN FINANCIAL SERVICES NT CORP. CAPITAL,INVESTMENT COMPANY,FUND_PRODUCT,high,NT CORP structured-note pattern
IU.P,0,CANADIAN SPLITSHARE CORP. DIV CAPITAL RECEIPT,INVESTMENT COMPANY,FUND_PRODUCT,high,SPLITSHARE in name
CFS,2,CDN FINANCIALS & UTILITIES SPLIT CORP. CL 'A',INVESTMENT COMPANY,FUND_PRODUCT,high,SPLIT in name
CDI.A,0,CDN. DOLLAR INVEST. (BERMUDA) LTD. CL 'A' RV,INVESTMENT COMPANY,UNKNOWN,low,Bermuda-domiciled investment vehicle -- couldn't confirm identity; RV suffix (restricted voting) is neutral. Flag for manual research before deciding
CDI.B,0,CDN. DOLLAR INVEST. (BERMUDA) LTD. CL 'B' RV,INVESTMENT COMPANY,UNKNOWN,low,same as CDI.A
CRP,0,CERES GLOBAL AG CORP.,INVESTMENT COMPANY,REAL_COMPANY,high,"Ceres Global Ag is a real agricultural commodities/grain-handling operating company, not a fund"
